    ___________________________________________________________________________________________________


                                      Results of running IDEG6

    ___________________________________________________________________________________________________

     n° of GENES:			658
     n° of TISSUES/LIBRARIES:	5

     The following statistical tests were applyed:

     Pairwise Audic & Claverie test     Selected significance threshold:  7.598784e&#45;06 (Bonferroni corr.) 
     Pairwise Fisher Exact test         Selected significance threshold:  7.598784e&#45;06 (Bonferroni corr.) 
     Pairwise Chi sq. test              Selected significance threshold:  7.598784e&#45;06 (Bonferroni corr.) 
     Greller & Tobin test               Selected significance threshold:  7.598784e&#45;05 (Bonferroni corr.) 
     Stekel & Falciani R test           Selected significance threshold:  7.598784e&#45;05 (Bonferroni corr.) 
     Multiple Chi sq. test              Selected significance threshold:  7.598784e&#45;05 (Bonferroni corr.) 
    ___________________________________________________________________________________________________


UNIQID	 Description                                      	Lib1	Lib2	Lib3	Lib4	Lib5	normLib1	normLib2	normLib3	normLib4	normLib5	AC.1-2	AC.1-3	AC.1-4	AC.1-5	AC.2-3	AC.2-4	AC.2-5	AC.3-4	AC.3-5	AC.4-5	Fisher.1-2	Fisher.1-3	Fisher.1-4	Fisher.1-5	Fisher.2-3	Fisher.2-4	Fisher.2-5	Fisher.3-4	Fisher.3-5	Fisher.4-5	Chi2x2.1-2	Chi2x2.1-3	Chi2x2.1-4	Chi2x2.1-5	Chi2x2.2-3	Chi2x2.2-4	Chi2x2.2-5	Chi2x2.3-4	Chi2x2.3-5	Chi2x2.4-5	GT	R	Chi	
Contig1	 NA                                               	49	233	128	228	50	138.9	68.4	60.3	101.6	47.9	0.000001	0.000000	0.001356	0.000000	0.013910	0.000003	0.002801	0.000000	0.016506	0.000000	0.000032	0.000004	0.051969	0.000000	0.254830	0.000025	0.020147	0.000001	0.174555	0.000000	0.000004	0.000000	0.045226	0.000000	0.250067	0.000018	0.020817	0.000002	0.163629	0.000001	0.153759	0.000000	0.000000	
Contig10	 NA                                               	8	422	27	83	0	22.7	123.9	12.7	36.10	0	0.000000	0.009000	0.007300	0.000004	0.000000	0.000000	0.000000	0.000000	0.000014	0.000000	0.000000	0.146844	0.219875	0.000016	0.000000	0.000000	0.000000	0.000000	0.000035	0.000000	0.000000	0.145283	0.180940	0.000001	0.000000	0.000000	0.000000	0.000000	0.000265	0.000000	0.444877	0.000000	0.000000	
Contig100	 NA                                               	19	22	16	20	27	53.9	6.5	7.5	8.9	25.9	0.000000	0.000000	0.000000	0.001784	0.071884	0.043136	0.000001	0.056983	0.000029	0.000114	0.000000	0.000000	0.000000	0.016606	0.621595	0.344162	0.000002	0.739223	0.000067	0.000404	0.000000	0.000000	0.000000	0.012061	0.637724	0.295158	0.000000	0.617121	0.000032	0.000154	0.166619	0.000000	0.000000	
Contig101	 NA                                               	0	87	34	22	0	0	25.5	16.0	9.8	0	0.000018	0.000764	0.005467	.	0.002928	0.000004	0.000000	0.010123	0.000001	0.000152	0.000318	0.011213	0.062717	.	0.019350	0.000020	0.000000	0.081646	0.000001	0.000318	0.002649	0.017348	0.062774	.	0.019781	0.000030	0.000000	0.069695	0.000043	0.001368	0.309613	0.000000	0.000000	
Contig102	 NA                                               	0	26	44	52	10	0	7.6	20.7	23.2	9.6	0.007234	0.000164	0.000068	0.013752	0.000012	0.000001	0.094149	0.034164	0.005494	0.001792	0.167874	0.001900	0.000839	0.075083	0.000038	0.000002	0.555587	0.610442	0.028661	0.008813	0.100619	0.006786	0.004204	0.065975	0.000025	0.000001	0.542019	0.586180	0.023636	0.008121	0.156830	0.000000	0.000000	
Contig103	 NA                                               	8	1	52	9	48	22.7	0.3	24.5	4.0	45.10	0.000000	0.020921	0.000103	0.005082	0.000000	0.000894	0.000000	0.000000	0.000432	0.000000	0.000000	1.000000	0.000891	0.063990	0.000000	0.001579	0.000000	0.000000	0.001899	0.000000	0.000000	0.837787	0.000056	0.058429	0.000000	0.001155	0.000000	0.000000	0.001381	0.000000	0.154949	0.000000	0.000000	
Contig106	 NA                                               	0	1	1	3	84	0	0.3	0.5	1.3	80.4	0.085068	0.122239	0.087677	0.000000	0.291438	0.091074	0.000000	0.128283	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.308002	0.000000	0.625565	0.000000	0.000000	0.747537	0.683446	0.492152	0.000000	0.735690	0.149257	0.000000	0.344813	0.000000	0.000000	0.689828	0.000000	0.000000	
Contig107	 NA                                               	0	6	4	31	1	0	1.8	1.9	13.8	0.10	0.051963	0.077058	0.001469	0.188746	0.153689	0.000000	0.252571	0.000002	0.222920	0.000050	1.000000	1.000000	0.016957	1.000000	1.000000	0.000000	1.000000	0.000004	1.000000	0.000163	0.430396	0.414740	0.027158	0.561087	0.916697	0.000000	0.566291	0.000011	0.536834	0.000498	0.447776	0.000000	0.000000	
Contig1089	 NA                                               	1	33	7	15	3	2.8	9.7	3.3	6.7	2.9	0.011581	0.055401	0.033040	0.106518	0.001614	0.035476	0.010356	0.024489	0.175190	0.057764	0.368720	1.000000	0.713154	1.000000	0.005497	0.242287	0.029952	0.137013	1.000000	0.210878	0.197233	0.886999	0.391497	0.990798	0.006571	0.230346	0.032028	0.115035	0.840860	0.168737	0.277531	0.015004	0.020128	
Contig109	 NA                                               	18	5	73	7	96	51.0	1.5	34.4	3.1	91.9	0.000000	0.005299	0.000000	0.001295	0.000000	0.059259	0.000000	0.000000	0.000000	0.000000	0.000000	0.133209	0.000000	0.017319	0.000000	0.239717	0.000000	0.000000	0.000000	0.000000	0.000000	0.131053	0.000000	0.019559	0.000000	0.187494	0.000000	0.000000	0.000000	0.000000	0.159583	0.000000	0.000000	
Contig10925	 NA                                               	21	0	1	0	17	59.5	0	0.5	0	16.3	0.000000	0.000000	0.000000	0.000014	0.236524	.	0.000000	0.236266	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090	0.383915	.	0.000000	0.486072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.205229	.	0.000000	0.303825	0.000000	0.000000	0.157809	0.000000	0.000000	
Contig11	 NA                                               	23	92	29	145	35	65.2	27.0	13.7	64.6	33.5	0.000023	0.000000	0.012113	0.001497	0.000176	0.000000	0.034240	0.000000	0.000117	0.000052	0.000542	0.000000	0.910427	0.014994	0.000983	0.000000	0.294080	0.000000	0.000434	0.000279	0.000093	0.000000	0.969152	0.011395	0.001090	0.000000	0.276501	0.000000	0.000219	0.000371	0.202645	0.000000	0.000000	
Contig110	 NA                                               	0	0	0	51	0	0	0	0	22.7	0	.	.	0.000079	.	.	0.000000	.	0.000000	.	0.000000	.	.	0.001417	.	.	0.000000	.	0.000000	.	0.000000	.	.	0.004586	.	.	0.000000	.	0.000000	.	0.000001	.	0.000000	0.000000	
Contig1113	 NA                                               	7	3	7	3	18	19.8	0.9	3.3	1.3	17.2	0.000001	0.000200	0.000009	0.042168	0.021252	0.165479	0.000000	0.050757	0.000042	0.000000	0.000006	0.001622	0.000070	0.817709	0.051600	0.687509	0.000000	0.215111	0.000120	0.000000	0.000000	0.000130	0.000000	0.751457	0.039837	0.606727	0.000000	0.175839	0.000033	0.000000	0.317657	0.000000	0.000000	
Contig113	 NA                                               	23	12	11	12	42	65.2	3.5	5.2	5.3	40.2	0.000000	0.000000	0.000000	0.005037	0.066515	0.057851	0.000000	0.079843	0.000000	0.000000	0.000000	0.000000	0.000000	0.063550	0.393653	0.305445	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059427	0.352089	0.303167	0.000000	0.940236	0.000000	0.000000	0.241847	0.000000	0.000000	
Contig116	 NA                                               	6	51	20	19	7	17.0	14.10	9.4	8.5	6.7	0.015285	0.012713	0.009447	0.014644	0.012558	0.005665	0.010729	0.058374	0.084384	0.102774	0.653417	0.253239	0.139610	0.106226	0.087131	0.037050	0.042990	0.751451	0.541245	0.678311	0.768129	0.198060	0.128534	0.082634	0.076351	0.031438	0.040324	0.738105	0.435107	0.595758	0.313164	0.053725	0.052755	
Contig1160	 NA                                               	7	2	4	2	18	19.8	0.6	1.9	0.9	17.2	0.000000	0.000030	0.000003	0.042168	0.076200	0.207343	0.000000	0.107498	0.000002	0.000000	0.000002	0.000231	0.000024	0.817709	0.212376	0.651967	0.000000	0.440968	0.000003	0.000000	0.000000	0.000003	0.000000	0.751457	0.154393	0.674277	0.000000	0.376085	0.000001	0.000000	0.314701	0.000000	0.000000	
Contig11610	 NA                                               	7	31	41	25	9	19.8	9.1	19.3	11.1	8.6	0.003585	0.022929	0.010157	0.013774	0.000371	0.048628	0.113255	0.004313	0.005794	0.083461	0.084405	0.838653	0.190929	0.143914	0.001516	0.495170	1.000000	0.035414	0.023714	0.583865	0.056123	0.948275	0.171064	0.088337	0.001199	0.451098	0.884587	0.027929	0.024104	0.507050	0.160849	0.010039	0.006262	
Contig1162	 NA                                               	0	5	6	20	3	0	1.5	2.8	8.9	2.9	0.057346	0.056653	0.007321	0.105462	0.080890	0.000024	0.145468	0.002438	0.182993	0.018545	1.000000	1.000000	0.098443	0.576689	0.353961	0.000051	0.401443	0.010031	1.000000	0.070689	0.471647	0.317834	0.076043	0.314037	0.270574	0.000038	0.349154	0.009177	0.982258	0.053706	0.364359	0.000312	0.000129	
Contig1163	 NA                                               	16	0	7	2	24	45.4	0	3.3	0.9	22.10	0.000000	0.000000	0.000000	0.004013	0.000757	0.095095	0.000000	0.029629	0.000000	0.000000	0.000000	0.000000	0.000000	0.043121	0.001229	0.157746	0.000000	0.100641	0.000001	0.000000	0.000000	0.000000	0.000000	0.031535	0.000803	0.081455	0.000000	0.079930	0.000000	0.000000	0.188327	0.000000	0.000000	
Contig117	 NA                                               	4	30	21	39	8	11.3	8.8	9.9	17.4	7.7	0.017569	0.029469	0.019209	0.049525	0.064038	0.001113	0.112762	0.005431	0.090156	0.007472	0.555944	0.773866	0.510032	0.512633	0.668825	0.006322	0.849288	0.038477	0.693267	0.028437	0.634558	0.802977	0.411694	0.519079	0.682443	0.004312	0.724775	0.034833	0.536151	0.029807	0.159714	0.039169	0.026943	
Contig1177	 NA                                               	0	21	1	18	0	0	6.2	0.5	8.0	0	0.011843	0.122239	0.009805	.	0.000199	0.055055	0.002780	0.000028	0.449103	0.000702	0.254418	1.000000	0.158610	.	0.000585	0.417427	0.007444	0.000084	1.000000	0.001529	0.140086	0.683446	0.092372	.	0.001095	0.411247	0.011132	0.000156	0.482940	0.003785	0.156546	0.000002	0.000133	
Contig118	 NA                                               	1	31	22	19	11	2.8	9.1	10.4	8.5	10.5	0.013275	0.015856	0.023027	0.031147	0.061208	0.067566	0.097681	0.048958	0.097769	0.086894	0.360697	0.238453	0.507840	0.316432	0.672652	0.885486	0.715489	0.535779	1.000000	0.560230	0.224262	0.173901	0.262150	0.177184	0.640535	0.803864	0.677531	0.517348	0.966022	0.563982	0.173426	0.595744	0.696570	
Contig119	 NA                                               	1	78	6	8	1	2.8	22.9	2.8	3.6	0.10	0.000319	0.056536	0.051661	0.095319	0.000000	0.000000	0.000000	0.093687	0.140160	0.091677	0.006257	1.000000	1.000000	0.441265	0.000000	0.000000	0.000000	0.791629	0.437781	0.288245	0.013219	0.998222	0.828259	0.420416	0.000000	0.000000	0.000003	0.666808	0.292622	0.183163	0.554443	0.000000	0.000000	
Contig120	 NA                                               	1	52	6	23	13	2.8	15.3	2.8	10.3	12.4	0.002774	0.056536	0.015406	0.020304	0.000001	0.015928	0.074992	0.000683	0.000901	0.080402	0.058963	1.000000	0.240313	0.213320	0.000002	0.124715	0.561419	0.002563	0.002173	0.592854	0.060969	0.998222	0.177776	0.118692	0.000011	0.108933	0.508610	0.002621	0.001015	0.575191	0.283285	0.000026	0.000206	
Contig1203	 NA                                               	0	23	7	10	2	0	6.8	3.3	4.5	1.9	0.009724	0.048576	0.031542	0.141087	0.022374	0.047953	0.026908	0.077894	0.159336	0.099431	0.162054	0.603375	0.376580	1.000000	0.094658	0.291706	0.094756	0.631288	0.726899	0.360542	0.122546	0.280598	0.209750	0.411071	0.089821	0.268890	0.067876	0.539801	0.492181	0.261174	0.286568	0.055562	0.110825	
