Cluster ID,Blast DB,Abundance,Hit ID,Description,E-value,Score
BMC12282, uniref100 , 33 , UniRef100_A8PJW0 , Cluster: Serpin; n=1; Brugia malayi|Rep: Serpin - Brugia malayi (Filarial nematode worm) , 3e-52 , 134 
XIC00238, uniref100 , 30 , UniRef100_Q6UKZ0 , Cluster: Serpinb3d (MCG8992) (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3D); n=1; Mus musculus|Rep: Serpinb3d (MCG8992) (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3D) - Mus musculus (Mouse) , 2e-11 , 74 
ASC10164, uniref100 , 21 , UniRef100_UPI0000E4762D , Cluster: PREDICTED: similar to serpin 6 precursor; partial; n=1; Strongylocentrotus purpuratus|Rep: PREDICTED: similar to serpin 6 precursor; partial - Strongylocentrotus purpuratus , 1e-19 , 100 
XIC00817, uniref100 , 21 , UniRef100_Q6UKZ2 , Cluster: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B); n=1; Mus musculus|Rep: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B) - Mus musculus (Mouse) , 2e-24 , 117 
BMC05588, uniref100 , 19 , UniRef100_A8NGJ9 , Cluster: Serpin; putative (Serpin (BmSERPIN); putative); n=1; Brugia malayi|Rep: Serpin; putative (Serpin (BmSERPIN); putative) - Brugia malayi (Filarial nematode worm) , 1e-100 , 210 
ASC02374, uniref100 , 15 , UniRef100_A8P7H0 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 1e-41 , 174 
BMC04832, uniref100 , 14 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 1e-34 , 149 
WBC01546, uniref100 , 14 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 1e-129 , 464 
BMC11756, uniref100 , 13 , UniRef100_A8P7H0 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 9e-85 , 317 
XIC00264, uniref100 , 13 , UniRef100_Q6UKZ2 , Cluster: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B); n=1; Mus musculus|Rep: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B) - Mus musculus (Mouse) , 2e-52 , 210 
ASC00197, uniref100 , 12 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 9e-20 , 100 
BMC00328, uniref100 , 12 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 2e-30 , 98 
ASC13283, uniref100 , 10 , UniRef100_UPI00004155CD , Cluster: Serpin B6 (Placental thrombin inhibitor) (Cytoplasmic antiproteinase) (CAP) (Proteinase inhibitor 6) (PI-6).; n=1; Homo sapiens|Rep: Serpin B6 (Placental thrombin inhibitor) (Cytoplasmic antiproteinase) (CAP) (Proteinase inhibitor 6) (PI-6). - Homo sapiens , 7e-48 , 194 
XIC01417, uniref100 , 10 , UniRef100_Q6UKZ2 , Cluster: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B); n=1; Mus musculus|Rep: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B) - Mus musculus (Mouse) , 2e-27 , 128 
BMC07103, uniref100 , 9 , UniRef100_A8NTC6 , Cluster: BmSERPIN; putative; n=1; Brugia malayi|Rep: BmSERPIN; putative - Brugia malayi (Filarial nematode worm) , 1e-43 , 178 
XIC01499, uniref100 , 8 , UniRef100_Q6UKZ2 , Cluster: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B); n=1; Mus musculus|Rep: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B) - Mus musculus (Mouse) , 7e-33 , 146 
BMC12501, uniref100 , 7 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 4e-83 , 310 
TSC01339, uniref100 , 7 , UniRef100_Q6UKZ0 , Cluster: Serpinb3d (MCG8992) (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3D); n=1; Mus musculus|Rep: Serpinb3d (MCG8992) (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3D) - Mus musculus (Mouse) , 5e-27 , 124 
ACC06061, uniref100 , 6 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 1e-55 , 210 
ACC12856, uniref100 , 6 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 7e-45 , 185 
CRC01946, uniref100 , 6 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 1e-119 , 432 
BMC12283, uniref100 , 5 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 2e-05 , 53 
HBC02478, uniref100 , 5 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 3e-74 , 282 
HGC02207, uniref100 , 5 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 1e-45 , 187 
MAC00167, uniref100 , 5 , UniRef100_Q0IEW1 , Cluster: Serine protease inhibitor 4; serpin-4; n=1; Aedes aegypti|Rep: Serine protease inhibitor 4; serpin-4 - Aedes aegypti (Yellowfever mosquito) , 9e-46 , 187 
MHC02355, uniref100 , 5 , UniRef100_Q0IEW4 , Cluster: Serine protease inhibitor 4; serpin-4; n=1; Aedes aegypti|Rep: Serine protease inhibitor 4; serpin-4 - Aedes aegypti (Yellowfever mosquito) , 1e-53 , 214 
MIC00458, uniref100 , 5 , UniRef100_A8PHV3 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 8e-28 , 126 
SRC01931, uniref100 , 5 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 3e-43 , 179 
ACC07424, uniref100 , 4 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 8e-49 , 179 
CBC02338, uniref100 , 4 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 1e-139 , 356 
ACC05144, uniref100 , 3 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 5e-28 , 128 
ASC01850, uniref100 , 3 , UniRef100_B0CMA7 , Cluster: Serpin peptidase inhibitor; clade B; member 11; n=1; Callithrix jacchus|Rep: Serpin peptidase inhibitor; clade B; member 11 - Callithrix jacchus (Common marmoset) , 2e-36 , 156 
